Müşteri No,Müşteri Adı,Telefon,GSM,Email,Adres,İlçe,Vergi Dairesi,Vergi No
MN000001,Ritma,216 464 74 00,,info@ritmateknoloji.com,Cevizli mah.Fil yokuşu sok.No18/1 Karalar Plaza Cevizli,Maltepe,,
MN000002,Gampaş Ambalaj A.Ş.,0212 876 33 67,,gampas@gampas.net,Mermerciler sanayi sitesi 2. bulvar no:20 ,Beylikdüzü,,
MN000003,Çağla Çikolata,,,,,,,
MN000004,Hassano Kuyumculuk Dış Ticaret Ltd.Sti,03422152753,05493304222,fahd.hassano@hotmail.com,"İncilipınar Mahallesi, Nişan-Taşı Sokak Tekerekoğlu İş merkezi Kat-4 No:98
Şehitkamil-Gaziantep",Şehitkamil,Gazikent,4580509967
MN000005,Remax Mekan - Altunızade,02166519000,05323333133,mehmet@remax-mekan-ist.com,Barbaros Mahallesi Veysi Paşa Sokak Kahyaoğlu Sitesi No:20/1A,Üsküdar,,
MN000006,Aptısh Eood Eık Bg  20076007,035932631946,035932631946,aptich@yahoo.com,"STR BREZOVSKO SHOSE 145 
",,,
MN000007,Elıf Cıkolata  Sanayı Ve Tıcaret Ltd Stı,0332 3215220,05322530960,,"Fevzi Çakmak Mahallesi Şekerciler Sanayi Sitesi 
10547 Sokak No: 7
",Karatay,Selçuk,3320418724
MN000008,Rok Teknik Metal Makina Ve Kalıp San.Tic Ltd.Şti,02623495245,,muhammed@rokteknik.com,"Yeni Bursa Yolu Üzeri Vezirçiftliği Mah. Başyiğit Cad. No:226
",Başiskele,Tepecik V.D. ,735 075 5036
MN000009,Asl - Germany,+49 40 360977,,denny.wong@asiansourcinglink.com,"Am Strandkai 1
D-20457 Hamburg
",,,
MN000010,Al-Khassakı Ikhuan-Sweets,+9647600004112,,alkhassaki.ikhuan@yahoo.com,AL JAMIAA DIS,,,
MN000011,Coca Cola İçecek A.Ş,0216 5284000,,salih.gurdal@cci.com.tr,Esenkent Mahallesi Deniz Feneri Sokak No:4,Ümraniye,,
MN000012,4 Mevsim Ajans,03742171944,05076121944,bilgi@ajans4mevsim.com,Semerkant Mahallesi İhtiyaroğlu Sok. Kubilay Esen Han Bulut Apt No: 25/A,Merter,,
MN000013,Erdal Meydan,0264 654 58 91,,erdalmeydan@caglacikolata.com,,Hendek,,
MN000014,Dankan Packagıng Sp.Z.O.O,+48122100401,,piotr.godyn@dankan.pl,Wola Debinska 431 woj malopolskie,,,
MN000015,Mert Promosyon,0212 2848516,05051540381,sevilay@mertpromosyon.com,ÇAĞLAYAN MAHALLESİ VATAN CADDESİ ESEN SOKAK NO:24/A ÇAĞLAYAN / KAĞITHANE / İSTANBUL,Şişli,,
MN000016,Öğüt Ambalaj Ltd. Şti,0216 394 08 24,05063748807,murat@exspertambalaj.com,Orhanlı Merkez Mah. Karadeniz Cadd. Turgut Reis San.Site B-1 Blok No:8 TUZLA,Tuzla,,
MN000017,Adel Makine Gıda Amb.İc Ve Dış. Tic.Ltd.Şti,03323426161,05336980909,info@tatbey.com,"Hacı yusuf mescid mah.
Adana çevreyolu cad.
no.62/A",Karatay,Selçuk,0070627783
MN000018,Sude İç Ve Dış Tic Ltd . Şti,902126595061,,cosku@themia.com.tr,"İstoç 1. Ada No:32 , Mahmutbey , Bağcılar , İstanbul ",Bağcılar,güneşli,7820626142
MN000019,Rıpa Kahve Ve Hazır Gıda San.Tıc.As,03123971917,05321330640,behcetsahin@esperrokahve.com,Yakacık Mahallesi 3958.Sokak No: 10/3,Yeni Mahalle,,
MN000020,Toksöz Grup - Sanovel A.Ş,02123621800,05424424770,mehmetozker@sanovel.com.tr,İstinye Mahallesi Balabandere Caddesi No:14,Sarıyer,,
MN000021,Auer Blaschke Gmbh & Co.Kg,+43226681690,+43226681690 - 432,martin.bayer@auer-blaschke.at,Wiener StraBe 209-217,,LANDESGERİCHT KORNEUBURG ,ATU69103089
MN000022,Sevinç Pastacılık San Ve Tic Ltd Şti,0232 421 75 90,0533 7636979,sevincpastanesi@gmail.com,"ALİ ÇETİNKAYA BULVARI 31/A  ALSANCAK                                     İ Z M İ R 
",Konak,Kordon,7660030726
MN000023,Gemaco Gmbh,4921614772911,,info@gemaco-group.de,Rudolfstraße 10V // 41068 Mönchengladbach // Deutschland,,,
MN000024,Akat Kozm,,,,,,,
MN000025,Servinformatica S.L,+34913807160,,j.suarez@servicola.com,"Calle Metalistas 7,Poligono industrial Sector 6,  
velila desan antonia ",,,
MN000026,Aktif Bilişim Akın Karadaş,,0533 732 89 83,akin@aktif-bilisim.com,,,,
MN000027,Akat Kozmetik San Ve Tic. A.Ş,0282 758 35 35,05333027492,info@akatkozmetik.com.tr,Çerkezköy Organize Sanayi Bölgesi Atatürk Mahallesi 13. Sok. No: 2 Karaağaç Çerkezköy - Tekirdağ,Çerkezköy,bogaziçi kurumlar,0130645539
MN000028,Bakara İlaç Ve Tıbbi Malzeme Pazarlama Dış Tic A.Ş,0216 635 46 00,,buketaydin@gnc.com.tr,"Saray Mah. Dr Adnan Büyükdeniz Cad. no:4 akkom ofis park 2.blok. kat9
",Ümraniye,anadolu kurumlar,1320086515
MN000029,Brand Addition,44 (0) 161 786 0388,,info@brandaddition.com,"Broadway, Trafford Wharf Road, Manchester ",,,
MN000030,Ülker /Pladis Türkiye Mena & Ca,0212 567 68 00,05335004069,Ahmet.ilter@yildizholding.com.tr,"Ülker (Holding Binası) Çamlıca 
Kısıtlı Mah. Ferah Cad. no:1 Büyükçamlıca-İst

Ülker Topkapı (fabrika)
Davutpaşa cad no10 topkapı-İstanbul",Topkapı,,
MN000031,Tayaş Gıda San Ve Tic A.Ş,0 262 646 57 13 ,05419516206,info@tayas.com.tr,"Gebze Organize Sanayi Bölgesi, İhsan Dede Caddesi 800 Sokak No:122, Gebze / Kocaeli",Gebze,ilyasbey,8320028225
MN000032,Mey Alkollü İçkiler Sanayi Ve Ticaret A.Ş,0 212 373 44 00,,info@mey.com.tr,Abide-i Hürriyet Cad. No:211 Bolkan Center B Blok ,şişli,,
MN000033,Sora Kozmetik San. Tic. A.Ş,0212 738 84 64,05336907480,info@soracosmetics.com,Gazitepe Mh.Ördekçioğlu Cd. Fabrikalar Mevkii N:7   ,Silivri,,
MN000034,Eczacıbaşı  Girişim Pazarlama A.Ş, 0212 371 70 00,05307810611,,"Mehmetcik Caddesi No:61 

Tüketim Ürünleri Grubu 
Kavacık Ofis 
Rüzgarlı Bahçe Mahallesi, 
Kavak Sokak No:20 
Beykoz 34805, İstanbul 
Telefon : 0 216 333 71 00 / 7192 
Faks: 0 216 333 70 78  
",Mecidiyeköy,Büyük Mükellefler,32960034425
MN000035,Kosan Kozmetik Pazarlama Ve Ticaret A.Ş.,0262 751 0333,05339681502,bilgi@flormar.com.tr,Gebze Organize Sanayi Bölgesi İhsan Dede Caddesi No: 133 ,Gebze,,
MN000036,Elif Çikolata San.Tic.Ltd.Sti,0332 3215220,,info@elifcikolata.com.tr,Fevzi Çakmak Mahallesi 10547 Sokak No:7,Karatay,,
MN000037,Tatlısumak ( Şoray ) Şekerleme Sanayi Ticaret Ltd. Şti.,0 332 239 04 00,05324648294,satinalma@tatlisumak.com.tr,Konya Organize Sanayi Bölgesi Büyük Kayacık Mah. 8. Sokak No:19,Selçuklu,,
MN000038,Özel Çikolata Ve Şekerleme Gıda San Tic Ltd Şti,0 332 371 03 71,05325164217,ozel@ozelsekerleme.com,Adana Çevreyolu Cad. Fetih Mah. No:90 ,Karatay,,
MN000039,Deryas Çorap Mak. San. Ve Dış Tic. Ltd. Şti.,0212 875 00 66 ,05336253366,,Cihangir mah.,Avcılar,,
MN000040,Çaykur Çay İşletmeleri Genel Müdürlüğü,0464 213 02 11,0537 516 89 08,caykur@caykur.gov.tr,Müftü Mah. Menderes Bulvarı ,,,
MN000041,"Evyap Sabun, Yağ, Gliserin San. Ve Tic. A.Ş.",212 331 28 00,0533 731 35 66,galkan@evyap.com.tr,"Ayazağa Mahallesi, Kemerburgaz Cad.
No:1",Sariyer,,
MN000042,Dore Direkt Pazarlama Ve Tic. A.Ş.,0216 524 17 93,05308747697,," Altunizade Mah. Haluk Türksoy Sk. No: 4 Kat: 3-4 
",üsküdar,,
MN000043,Orkide Parfum Ve Kozmetik,0 212 253 30 44,0532 567 11 89,info@orkidecosmetics.com,Orhanlı Tepeören Yolu Aktepe San. Sit. Orhanli,Tuzla,,
MN000044,Çağla Çikolata Körfez,02625279861,05305652494,caglacigolata@caglacigolata.com,Yeniyalı Mah. Doruk Cad. no:11,Kocaeli,,
MN000045,Çağla Şekerli Mam. San. Tic. A.Ş.,0264 654 58 90,05316603761,,Sakarya 2. Organize San Bölgesi 1. Nolu Yol No:15,Sakarya,,
MN000046,Murat Çorap San Ve Tic A.Ş,212 630 25 72,0532 228 22 24,info@muratsocks.com,Bağlar Mah. Mehmet Akif Cad. No29,Güneşli,Hocapaşa v.d,6240011291
MN000047,Adnan Akat Kozmetik San Ve Dış Tic Ltd Şti,212 746 52 00,05335731115,info@aakozmetik.com,Sancaktepe Mah. Sahilboyu sok. no:252,Silivri,boğaziçi kurumlar,0080736811
MN000048,Binali Yıldırım,0312 203 11 11,,iletisim@binaliyildirim.com.tr, Hakkı Turayliç Caddesi No:5 Emek Çankaya,Çankaya,,
MN000049,Continental Confectıonery Company Gıda San Ve Tic A.Ş,02826891000,,info@continentalcc.com.tr,"Omurtak Mah. Asfalt Boyu (Küme Evler) No:1 
Ulaş Beldesi",Çorlu,Çorlu ,2030294772
MN000050,Elit Çikolata Ve Şekerleme San A.Ş,0212 444 0 924,05363096861,info@elitcikolata.com.tr,Zafer Mah. 140. Sokak No :21,Esenyurt,boğaziçi kurumlar,3320012319
MN000051,Magic Mate Tem.Tük.Ürt.Paz.San.T.Ltd.Şti.,0212 356 34 15 ,,info@magicmate.com.tr,Cemal Sahir Cad. Altanerbulak sok.beşyol apartmanı no2/1,Mecidiyeköy,zincirlikuyu,6100295117
MN000052,Genç Medya Turizm Seyahat Acentası Ve Ltd Şti,0364 224 49 99,0533 475 15 34,info@gencmedya.com.tr,GAZİ CADDESİ MALİYE 2 SOKAK 3/C,,,
MN000053,Tatsan Helva Sanayi Ve Ticaret Ltd.Şti,0288 263 44 44,,info@tatsanhelva.com,"Organize Sanayi Bölgesi Kızılcıkkdere Köyü
",,Kırklareli,8310046736
MN000054,Doğadan Gida San Ve Pazarlama A.Ş,(0312) 847 55 00,,dogadan@dogadan.com.tr,"Çınar Mahallesi, Duru Caddesi, No:11 ",Akyurt,hitit,3020067658
MN000055,Çiçek Sepeti İnt.Hizmetleri A.Ş,02123714499,0537 3377928,ulken.bilen@ciceksepeti.com,Yeşilce Mahhallesi Dalgıç Sok No:81/A,Seyrantepe - Gurme,Zincirlikuyu,2530759503
MN000056,Mahir Gida San Ve Tic A.Ş,212 481 54 61,,info@koskahelvacisi.com.tr,Tozkoparan Mah Metro sk. no:45,Güngören,Haliç Kurumlar V.D,6100028247
MN000057,Ahu Gıda Ve San.Tic.A.Ş,0256 259 12 04,0536 275 95 96,info@ahugida.com.tr,Aydın Org.San.Böl. 2. Cd. No:40   Umurlu/Aydın,Umurlu,Güzelhisar,0100041714
MN000058,Akatlar Kozmetik San.Dış A.Ş, 0212 886 63 44,0554 347 04 50 ,Onur@akatlarkozmetik.com.tr,Akçaburgaz Mah. 97. Sokak No:8 Esenyurt – İstanbul,Esenyurt,Boğaziçi kurumlar,013 064 5539
MN000059,Kadıoğlu Gıda.Mam.Paz.San.Tic.Ltd.Şti,0212 671 74 61 ,05323172383,kadioglusevercay@gmail.com,Ziya Gökalp Mah. İkitelli Organize Sanayi Bölgesi Dersan Koop. San. Sit. S1 B Blok No:220,İkitelli,İkitelli,4860044585
MN000060,Aysan Co.Dış.Tic.Ltd.Şti,0212 466 33 63,05359646502,info@aysanco.com ,"KARTALTEPE MAH AYDIN SOK ARZU APT.NO:3 DAİRE:6 
",Bakırköy,Bakırköy,0160170053
MN000061,Elvan Gıda San.Tic.A.Ş,0212 592 32 00,05053178828 ,elvan@elvan.com.tr,"MERKEZ MAH 2.ARİFAĞA SOK.NO:3 YENİBOSNA
",Sefaköy,Dış Ticaret,3330110071
MN000062,Akaş Akbalık Gıda San.Ve Tic..Aş.,0212 879 21 43 /44/45,0541 470 69 04,Volkan demirkol@akas.com.tr,Beysan San.Sit.Fuar Cad.Güner İş Merkezi No:15 Kat:2/A Haramidere / İstanbul,Haramidere,Dış Ticaret,013 006 3812
MN000063,Finansbank A.Ş,212 318 50 00,,,"BÜYÜKDERE CAD NO:129 MECİDİYEKÖY
",,B.mükellefler, 3880023334
MN000064,Aslan Çikolata Ve Gıda San.Tic. A.Ş,0216 419 00 95,,ozan@aslancikolata.com,Veysel Karani Mah.Fevzi Çakmak Cad. No 5 ,Sancaktepe,Sultanbeyli,089 052 5267 
MN000065,Asya Çikolata Ve Şekerleme Ltd.Şti,0262 644 34 62,0533 249 51 45,,"Pelitli Köyü ,pelitli Yolu Cad. No: 1",Gebze ,İlyasbey,091 051 5889  
MN000066,Atak Farma Kozm. Ve Kim. Aş.,0282 725 23 13,,,2.Org.San.Böl.Şehit Gaffar Okan Cd. Zafer Sk N:12 Çerkezköy/ Tekirdağ  ,Çerkezköy ,Çerkezköy ,094 012 8263  
MN000067,Avrupa Tekstil İç Ve Dış Tic.Ltd.Şti,0216 354 44 00,,mh@avrupatekstil.com.tr,"İst.Deri Org.San.Böl. Kadife Cd Zırnık Sk.No: 1 Tuzla / İstanbul 
",Tuzla ,Tuzla,105 053 4354
MN000068,Ayge Gıda İnş. Ve San Tic Ltd.Şti.,0212 854 16 50 / 51,0532 235 88 76,hergulpancar@aygegida.com,"Cumhuriyet Cad,cumhuriyet Mah.1987 Sok Rayana Rezıdance A Blok K:13 D: 63 Esenyurt /İst",Esenyurt,Beylikdüzü,1190399977  
MN000069,Becon Gıda San.İç Ve Dış Tic.Ltd.Şti,0232 329 76 51, ,filizyilmaz@becomgida.com,8229/2 Sk. N:33 Odin İş Merkezi  Çiğli/izmir,Çiğli,Çiğli,1600201756
MN000070,Solares  İthalat Ve İhr.San Tic Aş,0216 519 75 76,,mehmet@solares.com.tr,GÖZTEPE MAHALLESİ IHLAMUR CADDESİ GÖKSU EVLERİ SİTESİ B 16 B,BEYKOZ,Küçükyalı ,773 033 6148
MN000071,Erhas Tüketim Malları Tic.Ltd.Şti.,0216 463 77 04,0530 524 51 91 ,,"Kasımpatı Sokak No.34 Yunus 
Kartal / İstanbul",Kartal,Erenköy,336 039 7881
MN000072,İmteks Giyim Sanayi Ve Ticaret A.Ş.,0212  454 90 00,,," Merkez Mah. Kavak Sok. No:22
Yenibosna  İstanbul",Yenibosna,Dış Ticaret,474 004 77 20
MN000073,Doğadan Gıda Ürün.San.Paz. A.Ş,0312  847 55 00,,dogadan@dogadan.com.tr,Çınar Mah.Duru Cad.No:11 Akyurt /Ankara,,Hitit,302 006 7658
MN000074,Unilever San.Tic.Türk A.Ş.,0216 633 90 00,,,Saray Mh.Dr.Adnan Büyükdeniz Cd.No: 13 Ümraniye/ İstanbul,Ümraniye,B.Mükellefler,913 00 26051
